# Stronzio (Sr) - saggio alla fiamma, USB2000 S/N USB2G16606
# registrazione: fsr_usb2000_spettrogramma_20260921_161953,
# selezione: media delle 12 righe piu intense in 595-690 nm (su 13),
# integrazione: 200 ms · rumore: 0.25 conteggi,
# fondo strumentale sottratto; punte di 1-2 pixel rimosse,
# cancellato Na a 589 nm +-5 nm (c'era un picco da 662 conteggi),
# cancellato K a 768 nm +-7 nm (c'era un picco da 2801 conteggi),
wavelength_nm,intensity_counts
176.507,-1.10717
176.894,-1.42633
177.28,-1.57133
177.667,-1.26467
178.054,-1.04467
178.44,-1.05467
178.827,-1.56883
179.213,-1.46467
179.599,-1.06717
179.986,-1.24633
180.372,-1.71467
180.758,-1.73633
181.144,-1.628
181.53,-1.55883
181.917,-1.43883
182.303,-1.448
182.689,-1.01633
183.075,-1.163
183.461,-1.63633
183.847,-1.46967
184.232,-1.2855
184.618,-1.27717
185.004,-1.45883
185.39,-1.05217
185.776,-1.11467
186.161,-1.0955
186.547,-1.25883
186.933,-0.91467
187.318,-1.16883
187.704,-1.47967
188.089,-0.9655
188.475,-1.42383
188.86,-1.28967
189.245,-1.34467
189.631,-1.153
190.016,-1.128
190.401,-1.10717
190.787,-1.15633
191.172,-1.35217
191.557,-1.61383
191.942,-1.25633
192.327,-1.44133
192.712,-1.45133
193.097,-1.188
193.482,-0.95467
193.867,-1.37217
194.252,-1.30467
194.637,-1.26717
195.022,-1.45467
195.406,-1.23883
195.791,-1.398
196.176,-1.30883
196.56,-1.3805
196.945,-1.5555
197.33,-1.46467
197.714,-1.523
198.099,-1.79633
198.483,-1.64133
198.868,-1.32217
199.252,-1.298
199.636,-1.12133
200.02,-0.913
200.405,-1.16967
200.789,-1.37133
201.173,-1.3405
201.557,-1.6105
201.941,-1.47717
202.325,-1.45717
202.709,-1.93883
203.093,-1.73467
203.477,-1.8555
203.861,-2.013
204.245,-1.91133
204.629,-1.54633
205.013,-1.02717
205.397,-1.168
205.78,-1.27717
206.164,-1.41467
206.548,-1.30633
206.931,-1.12133
207.315,-1.22217
207.698,-1.24217
208.082,-1.22133
208.465,-1.35883
208.848,-1.19633
209.232,-1.47717
209.615,-1.6355
209.998,-1.33883
210.382,-1.6055
210.765,-1.46217
211.148,-1.49633
211.531,-1.27217
211.914,-0.743
212.297,-1.2305
212.68,-1.30217
213.063,-1.4605
213.446,-1.31633
213.829,-0.80883
214.212,-1.07217
214.595,-1.24633
214.977,-1.40717
215.36,-1.518
215.743,-1.663
216.125,-1.36967
216.508,-1.18717
216.891,-1.2055
217.273,-0.938
217.656,-1.2105
218.038,-1.14467
218.42,-1.21133
218.803,-1.41717
219.185,-1.4105
219.567,-0.75483
219.95,-0.878
220.332,-0.81867
220.714,-0.737
221.096,-1.49383
221.478,-1.2855
221.86,-1.53217
222.242,-1.33967
222.624,-1.48967
223.006,-1.28883
223.388,-1.34883
223.77,-1.71383
224.152,-1.19383
224.534,-0.97717
224.915,-1.05967
225.297,-1.19633
225.679,-1.23717
226.06,-1.95967
226.442,-1.67883
226.823,-1.6405
227.205,-1.29217
227.587,-1.45133
227.968,-1.19383
228.349,-1.128
228.731,-1.28883
229.112,-1.36633
229.493,-1.6805
229.874,-1.3905
230.256,-1.34133
230.637,-1.47133
231.018,-1.19217
231.399,-1.33633
231.78,-1.25967
232.161,-1.50633
232.542,-1.418
232.923,-1.59467
233.304,-1.58633
233.685,-1.50883
234.065,-1.08383
234.446,-1.20883
234.827,-1.238
235.207,-1.30467
235.588,-1.37133
235.969,-0.863
236.349,-1.2355
236.73,-1.03383
237.11,-1.44217
237.491,-1.21717
237.871,-1.53467
238.251,-1.58133
238.632,-1.72967
239.012,-1.41883
239.392,-1.623
239.772,-1.80633
240.153,-1.6355
240.533,-1.92217
240.913,-1.71383
241.293,-1.70133
241.673,-1.76217
242.053,-1.428
242.433,-1.46883
242.813,-1.59217
243.192,-1.598
243.572,-1.2005
243.952,-0.628
244.332,-0.97533
244.711,-1.2555
245.091,-1.35217
245.471,-1.4505
245.85,-1.73133
246.23,-1.42967
246.609,-1.578
246.989,-1.73133
